연번,기준년도,업종,목적,적용공정,제공 제조AI데이터셋 명,제조AI데이터셋 내용,유형,사용조건,데이터셋 다운 링크
1,2020,정밀가공,생산공정 최적화,제관공정,제조 현장용 OCR학습 제조AI 데이터셋,저울에 표기된 무게를 OCR(Optical Character Recognition)기법으로 수기로 작성하던 숫자표기를 디지털화하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 충진과정에서 계측되는 무게를 저울의 LED 숫자표기를 디지털로 변환하여 무게입력의 자동화를 도모합니다.,jpg,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
2,2020,기타,예지보전,검사공정,Ford 엔진 진동 AI 데이터셋,"Ford사의 자동차 모터센서 오픈데이터소스를 사용하여 시간의 흐름에 따른 소음의 변화를 분석하고, 정상/비정상을 분류하는 것을 목적으로하는 제조 AI분석과정을 담은 데이터셋과 가이드북입니다.",txt,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
3,2020,정밀가공,생산공정 최적화,CNC 가공공정,CNC 머신 AI 데이터셋,"최적 가공조건 분석을 위한 CNC 머신 데이터, 가공불량을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. CNC 머신 부품들의 위치, 속도, 가속도, 전압, 전류 등의 데이터를 수집하고 딥뉴럴네트워크 알고리즘을 사용하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
4,2020,사출성형,품질보증,사출공정,사출성형기 AI 데이터셋,"사출 성형 최적 조건 분석을 위한 사출성형기 데이터, 플라스틱 성형법 중 하나인 사출성형품의 불량을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 사출성형기로부터 계량, 온도, 압력, 시간, 속도 관련된 데이터를 수집하여 오토인코더, 서포터벡터머신, 딥뉴럴네트워크 등 다양한 알고리즘을 학습시키고 예측율이 가장 좋은 최적의 알고리즘을 선별하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
5,2020,뿌리(용접접합),품질보증,용접공정,용접기 AI 데이터셋,"용접 불량 예측 분석을 위한 로봇 용접기 데이터, 용접 불량품을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 소재두께, 용접 가압력, 전류, 전압, 통전시간 데이터를 수집하고, 이상치 탐지 알고리즘을 사용하여 정확한 불량품 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
6,2020,사출성형,품질보증,품질외관검사공정,머신비전 AI 데이터셋,"열화상 이미지를 이용한 양/불량 판정을 위한 머신비전 데이터, 자동차 윈드실드 사이드 몰딩 사출품의 양품/불량품 판정을 위해 적외선 카메라를 사용하여 제품의 온도 분포에 따라 품질을 선별하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 사출 제품을 일정시간 안에 열화상 카메라로 촬영한 이미지 데이터를 수집하고 서포트벡터머신 알고리즘을 사용하여 정확한 불량품 선별을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
7,2020,뿌리(소성가공),생산공정 최적화,프레스공정,프레스기 AI 데이터셋,"프레스벤딩 성형 최적 조건 분석을 위한 프레스 가공 데이터, 프레스 생산품의 불량품을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 프레스속도, 프레스 압력 데이터를 수집하여 혼합 가우시안모델 알고리즘을 사용하여 정확한 불량품 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
8,2020,식품가공,품질보증,용해공정,용해탱크 AI 데이터셋,"식품 가공 공정에서의 품질 예측을 위한 원재료 공급설비(용해탱크) 데이터, 분말의 원재료를 정제수 등에 용해/혼합하는 과정에서 용해 탱크 설비운영값(용해온도, 교반속도, 수분함유량)을 기준으로 최종 품질을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 용해탱크의 데이터를 수집하여 LSTM알고리즘을 사용하여 예지적 품질분석을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
9,2020,식품가공,예지보전,용해공정,교반구동장치 AI 데이터셋,"3축(x,y,z) 진동데이터 기반 설비 예지보전을 위한 교반구동장치 데이터, 예지보전을 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 분말의 원재료를 정제수 등에 녹이는 작업을 하는 설비가 표준운영절차서(Standard Operating Procedure)에 따라 셋팅 값대로 정상작동하는지 분석하는 것을 목표로합니다. 교반구동장치에 진동센서를 부착하여 수집한 데이터를 K-최근접이웃 알고리즘을 사용하여 동일하고 균일한 품질을 생산하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
10,2020,식품가공,품질보증,살균공정,살균기 AI 데이터셋,"식품 살균 공정에서의 품질 예측을 위한 살균기 데이터, 	원재료를 100℃ 이하의 온도에서 30분 이상 저온살균 및 교반작업 시, 설비운영값 (살균상태, 살균온도, 양품/불량여부)을 수집하여 최종 품질을 예측하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 살균기의 데이터를 수집하여 의사결정나무 알고리즘을 사용하여 품질 불량 선별에 중요한 설비운영 데이터를 선별하고, 그에 따른 품질 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
11,2020,식품가공,예지보전,건조공정,건조구동장치 AI 데이터셋,"3축(x,y,z) 진동데이터 기반 설비 예지보전을 위한 건조 구동장치 데이터, 예지보전을 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 용해 및 살균공정에서 생산된 액체 혼합물을 다시 분말화하는 작업에서 설비가 표준운영절차서(Standard Operating Procedure)에 따라 셋팅 값대로 정상작동하는지 분석하는 것을 목표로 합니다. 건조구동장치에 진동센서를 부착하여 수집한 데이터를 주성분분석 알고리즘을 사용하여 동일하고 균일한 품질을 생산하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
12,2020,식품가공,품질보증,포장공정,X-ray 검사장비 AI 데이터셋,"이미지 데이터 기반 이물질 검출을 위한 X-ray 검사장비 데이터, 완제품 내 금속 및 이물 포함 여부를 검출하기위해 진행되는 X-RAY 비전검사 시, 불량품을 선별하기위한 제조 AI분석 과정을 담은 데이터셋과 가이드북입니다. 객체 탐지 분석 모델(YOLOv3) 알고리즘을 사용하여 신속하고 정확한 불량품 검출을 도모합니다.",bmp,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
13,2021,정밀가공,생산공정 최적화,제관 Count-Weight의 충진공정,제조현장용 Scene-Text Recognition 학습 AI 데이터셋,"제관충진량 인식 및 탐지를 위한 이미지 데이터, 저울에 표기된 무게를 디지털화하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 충진과정에서 계측되는 저울의 LED 숫자를 디지털로 변환하여 무게입력의 자동화를 도모합니다.",jpg,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
14,2021,기타,예지보전,회전기계,회전기계 고장유형 AI 데이터셋,"고장 분석 및 진단을 위한 회전 설비의 진동데이터, 회전 설비의 고장을 진단하기 위한 제조AI분석과정을 담은 데이터셋과 가이드북입니다. 데이터 불균형 해소를 위하여 testbed를 통해 데이터를 수집하였으며, DNN, CNN, RNN 알고리즘을 학습시켜 회전 기계의 생산 효율 향상을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
15,2021,뿌리(표면처리),생산공정 최적화,산제 전처리 공정,공정운영 최적화 AI 데이터셋,"공정 운영 최적화를 위한 산제 전처리 설비데이터, 산제 전처리 공정 조건이 완제품의 품질에 미치는 영향을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 온도, pH, 시간 관련된 데이터를 수집하고 Decision Tree 알고리즘을 학습시키고 완제품의 품질을 예측하여 공정 운영 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
16,2021,뿌리(표면처리),품질보증,전해탈지 공정,"품질 이상탐지,진단(전해탈지) AI 데이터셋","품질 예측을 위한 전해탈지 공정 데이터, 전해탈지 공정 조건이 완제품의 품질에 미치는 영향을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 온도, pH 등의 데이터를 수집하고 autoKeras Regression 알고리즘을 학습시켜 완제품의 품질예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
17,2021,뿌리(표면처리),품질보증,도금 공정,"품질 이상탐지,진단(도금욕) AI 데이터셋","도금 공정에서의 품질 예측을 위한 도금 공정 데이터, 도금욕 공정 조건이 완제품의 품질에 미치는 영향을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 온도, pH, 전류, 전압, 시간 등의 데이터를 수집하고 autoKeras Regression, Decision Tree 알고리즘을 학습시켜 완제품의 품질예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
18,2021,뿌리(표면처리),예지보전,열풍건조 공정,장비이상 조기탐지 AI 데이터셋,"설비 예지보전을 위한 열풍건조 공정 데이터 및 소리 데이터, 열풍건조 공정에서 발생하는 데이터를 분석하여 설비의 예지보전을 위한 분석과정을 담은 데이터셋과 가이드북입니다. 온도, pH, 전압, 시간 데이터와 소리데이터를 수집하고 LSTM-AE, Decision Tree 알고리즘을 학습시켜 설비 이상탐지를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
19,2021,뿌리(표면처리),품질보증,크로메이트 공정,"품질 이상탐지,진단(크로메이트) AI 데이터셋","품질 이상 예측을 위한 크로메이트 공정 데이터 및 이미지 데이터, 크로메이트 공정에서 발생하는 데이터를 분석하여 완제품의 품질을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 온도, pH, 전압, 시간 데이터를 수집하고 Decision Tree 알고리즘을 학습시켜 완제품의 품질예측을 도모합니다. 또한, 이미지 데이터를 CNN 알고리즘으로 학습시켜 육안으로 진행하던 품질검사를 자동으로 진행하여 보다 정확한 불량품 검출을 도모합니다.",jpg,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
20,2021,기타,공급망 최적화,VMI 발주,공급망 최적화 AI 데이터셋,"납품 수량 예측을 위한 발주 수량 시계열 데이터, 최적 생산 계획 수립을 위해 발주 수량을 예측하는 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 과거의 발주 및 계획 발주 데이터를 활용하여 LSTM 알고리즘을 학습시켜 공급량의 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
21,2021,기타,자원 최적화,자재 입고에서 제품 출하까지의 전 제조공정,자원 최적화 AI 데이터셋,"에너지(전력) 사용량 예측을 위한 생산 데이터, 최대 피크 전력으로 인한 제조비용 증가를 방지하기 위해 전력 사용량을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 변압기 센서를 활용하여 데이터를 수집하고 Random Forest, DNN 알고리즘을 학습시켜 전력 자원 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
22,2021,사출성형,생산공정 최적화,사출성형 공정,생산공정 최적화 AI 데이터셋,"생산공정 최적화를 위한 콘택트렌즈의 도수와 금형조합 데이터, 작업자의 숙련도에 따라 금형 조합 별 도수 적중률이 변화하는 문제 해결을 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 금형 조합과 도수 관련 데이터를 수집하고 연관규칙, XGBoost 알고리즘을 학습시켜 생산공정 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
23,2021,기타,기타,프레스 공정,제조현장 안전관리 AI 데이터셋,"안전관리를 위한 작업자 위치 기반의 이미지데이터, 제조 현장에서 작업자의 사고 발생 대비를 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 영상 장비를 통해 작업자 검출 및 위치 정보를 얻고, Yolo 알고리즘을 학습시켜 작업자의 안전관리를 도모합니다.",bmp,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
24,2021,기타,기타,NC 공정,생산계획 최적화 AI 데이터셋,"최적의 생산계획 수립을 위한 NC설비의 작업 데이터, 서로 다른 NC 설비 및 요구조건에 의해 발생하는 납기 지연을 방지하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. NC 설비 생산 데이터를 활용하여 유전 알고리즘을 학습시켜 생산계획 수립의 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
25,2022,뿌리(표면처리),공급망 최적화,도금 공정,표면처리 공급망 최적화 AI 데이터셋,재고량을 최소화하고 생산 시작 날짜를 고려한 생산량 예측을 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 제품 생산 주문 리스트 데이터를 활용하여 유전 알고리즘을 학습시켜 생산계획 수립의 최적화를 도모합니다.,csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
26,2022,뿌리(열처리),공급망 최적화,열처리 공정,열처리 공급망 최적화 AI 데이터셋,최적 생산 계획 수립을 위해 출고 수량을 예측하는 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 다양한 품목별 공급망 데이터를 활용하여 베이지안 신경망 알고리즘을 학습시켜 출고량 예측을 통한 효율적인 공급망 구축을 도모합니다.,csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
27,2022,사출성형,공급망 최적화,생산 계획 수립,사출성형 공급망 최적화 AI 데이터셋,최적 생산 계획 수립을 위해 수주량을 예측하는 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 다양한 시점의 수주량 및 생산 계획 수량 데이터를 활용하여 1D CNN 알고리즘을 학습시켜 수주량 예측을 통한 효율적인 공급망 구축을 도모합니다.,csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
28,2022,뿌리(표면처리),자원 최적화,도금 공정,표면처리 자원 최적화 AI 데이터셋,"공정운영 비용 감소 효과를 위해 최적 투입 인원을 예측하는 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 과거 스케줄 데이터를 기반으로 필요한 노동력을 예측하도록 Random Forest 알고리즘을 학습시키고, 이를 토대로 당일 작업량에 필요한 공정 인원을 도출합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
29,2022,화장품,품질보증,혼합 공정,화장품 품질보증 AI 데이터셋,혼합 공정 조건이 완제품의 품질에 미치는 영향을 예측하기 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 공정 데이터와 품질 데이터를 수집하고 DNN 알고리즘을 학습시켜 제품의 품질 향상을 도모합니다.,csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
30,2022,뿌리(열처리),예지보전,열처리 공정,열처리 예지보전 AI 데이터셋,"열처리 공정에서 발생하는 데이터를 분석하여 설비의 예지보전을 위한 분석과정을 담은 데이터셋과 가이드북입니다. 온도, 출력량, 설비 이상신호 등 공정 데이터를 수집하고 Auto-Encoder 알고리즘을 학습시켜 설비 이상탐지를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
31,2022,정밀가공,자원 최적화,레이저 가공 공정,정밀가공 자원최적화 AI 데이터셋,"레이저로 가공된 미세 홀의 품질평가 공정 개선을 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 레이저 반사광 데이터를 AI 분석모델에 학습시켜서 정상 홀과 불량 홀을 구별하고, 공정 개선을 통해 자원 최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
32,2022,뿌리(용접접합),예지보전,용접 공정,로봇용접 예지보전 AI 데이터셋,로봇 용접기에서 발생하는 데이터를 분석하여 설비의 이상 동작 감지를 위한 분석과정을 담은 데이터셋과 가이드북입니다. 진동과 전류 데이터를 수집하고 Convolutional Autoencoder 알고리즘을 통해 설비 예지보전을 도모합니다.,csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
33,2022,뿌리(소성가공),자원 최적화,프레스 공정,소성가공 자원최적화 AI 데이터셋,"자동차 차체 생산비용 절감을 위해 전력 사용량을 예측하는 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 단조프레스 공정설비의 전력 데이터를 기반으로 현재 공정의 에너지 사용량을 분석하고, 이를 토대로 에너지 자원 최적화 방안 수립을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
34,2022,전자부품,품질보증,출하검사 공정,전자부품(음향기기) 품질보증 AI 데이터셋,"음향기기 완제품의 일관된 검사 기준 적용을 위한 제조AI 분석과정을 담은 데이터셋과 가이드북입니다. 음향기기에서 발생하는 소리 데이터를 수집하고, LSTM 알고리즘을 통해 특성을 분석하여 최종 품질검사 자동화를 도모합니다.",wav,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
35,2022,뿌리(소성가공),예지보전,파인블랭킹 프레스 공정,소성가공 예지보전 AI 데이터셋,"소성가공 공정에서 발생하는 설비고장 문제를 해결하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 소성가공 설비의 유압펌프에 센서를 부착하여 모터의 상하부 진동, 전류와 같은 데이터를 수집하여 시계열 이상치탐지 알고리즘을 사용하여 모델을 학습시키고 이를 활용하여 설비고장의 사전예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
36,2022,뿌리(소성가공),품질보증,소성가공 공정,소성가공 품질보증 AI 데이터셋,"압출성형법 중 하나인 소성가공의 불량을 예측하기위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 압출성형기로부터 수지온도, 수지압력, 모터속도 등의 데이터를 수집하여 의사결정나무, 랜덤 포레스트, 에이다부스트 등 다양한 알고리즘을 학습시키고 예측율이 가장 좋은 최적의 알고리즘을 선별하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
37,2022,정밀가공,품질보증,CNC 정밀가공 공정,정밀가공 품질보증 AI 데이터셋,"정밀가공 공정에서 발생하는 품질 불량 문제를 해결하기위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. CNC 가공기로부터 스핀들 부하, 속도와 같은 데이터를 수집하여 딥뉴럴네트워크 알고리즘을 사용하여 모델을 학습시키고 이를 활용하여 불량 가공품을 분류하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
38,2022,뿌리(용접접합),예지보전,용접 공정,용접 예지보전 AI 데이터셋,"용접 공정 설비의 핵심인 용접기 노즐의 이상 데이터를 사전에 식별하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 용접 설비로부터 전류, 전압, 용접 속도 관련 데이터를 수집하여 LSTM-AutoEncoder 알고리즘을 학습하여 이상 설비 데이터를 사전에 식별하고, 해당 용접 설비의 가동 중단 시간 단축 및 불량품 생산 저하를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
39,2022,뿌리(용접접합),생산공정 최적화,용접 공정,용접 공정최적화 AI 데이터셋,"강철 파이프를 만들기 위해 강철판을 용접하는 과정에서 용접 공정품의 불량을 판정하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 용접기로부터 전류, 전압, 용접 속도 관련 데이터를 수집하여 의사결정나무, XGBoost, LightGBM 등 다양한 알고리즘을 학습시킵니다. 이 중, 정확도가 가장 좋은 최적의 알고리즘을 선별하고, 불량률을 줄여 공정최적화를 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
40,2022,뿌리(주조),생산공정 최적화,다이캐스팅 공정,주조 공정최적화 AI 데이터셋,"주조 공정중 다이캐스팅의 공정 최적화를 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 주조기로부터 온도, 압력, 속도 등의 데이터를 수집하여 머신러닝의 Decision Tree, XGBoost, LightGBM 등 다양한 알고리즘을 학습합니다. 그 중 정확도가 가장 높은 알고리즘을 선별하여 양품, 불량판정모델을 만들고 공정 최적화를 진행합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
41,2022,뿌리(주조),예지보전,다이캐스팅 공정,주조 설비 예지보전 AI 데이터셋,"용융 금속을 금형 내에 높은 압력으로 빠르게 주입하는 장치인 다이캐스팅 주조 설비의 이상 상태를 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 다이캐스팅 주조 설비로부터 매 shot 마다 수집되는 공정 데이터(힘, 압력, 속도, 시간)를 기반으로 랜덤포레스트 알고리즘을 학습시켜 설비의 정상/비정상 상태 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
42,2022,뿌리(주조),품질보증,다이캐스팅 공정,주조 품질보증 AI 데이터셋,"용융 금속을 금형 내에 높은 압력으로 빠르게 주입하는 장치인 다이캐스팅 주조 설비의 품질을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 다이캐스팅 주조 설비로부터 매 shot 마다 수집되는 공정 데이터(힘, 압력, 속도, 시간)를 기반으로 XGBoost 알고리즘을 사용하여 별도의 품질 검사 없이 자동으로 품질 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
43,2022,사출성형,예지보전,사출성형 공정,사출성형 예지보전 AI 데이터셋,"사출 성형기의 공정 데이터(온도, 압력, 시간, 속도, 위치)를 기준으로 품질을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 오토인코더 알고리즘을 적용하여 정상/비정상 상태 진단에 중요한 데이터를 선별하고, 이를 기반으로 품질 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
44,2022,전자부품,예지보전,배터리 용접 공정,전자부품(배터리팩) 예지보전 AI 데이터셋,"전기차용 배터리모듈 용접에 사용되는 용접설비 데이터(용접출력, 작업속도, 출력설정, 작업상태)를 기준으로 설비의 이상 발생 징후를 예측하기 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 용접설비로부터 운영 데이터를 수집하고, 장시간 높은 예측 정확도와 빠른 계산속도를 가지는 시계열 예측 알고리즘 N-HiTS를 학습시켜 설비의 정상/비정상 상태 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
45,2022,전자부품,품질보증,배터리 충방전 시험 공정,전자부품(배터리팩) 품질보증 AI 데이터셋,"전기차용 배터리팩을 구성하는 최소단위인 배터리셀의 측정 데이터(전압, 온도)를 기준으로 최종 품질을 예측하기 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 배터리팩 충·방전 시험기로부터 품질 불량 선별에 중요한 설비운영 데이터를 선별하고, 그에따른 품질 예측을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
46,2022,기계부품,품질보증,냉간단조 공정,기계부품 품질보증 AI 데이터셋,"냉간단조 공정은 소성가공의 일종인 단조공정 중 상온에서 소성변형을 일으키는 작업으로 냉간단조 설비의 품질보증을 위한 제조 AI분석과정을 담은 데이터셋과 가이드북입니다. 냉간단조 설비로부터 모터, 집게틀, 절단장, 재료이송의 전류 및 인버터 알람, 트랜스퍼 변위 데이터를 수집 및 전처리한 후 XGBoost 알고리즘을 적용하여 설비의 품질을 보증하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
47,2022,뿌리(열처리),품질보증,열처리 공정,열처리 품질보증 AI 데이터셋,"판재 성형 가공 방법 중의 하나인 스탬핑 이후에 금속의 필요한 성질을 부여하기 위한 공정으로 생산품의 불량을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 열처리 염욕설비로부터 건조 1~2존 OP, 건조로 온도 1~2존 외 24개 데이터를 수집 및 전처리한 후 XGBoost 알고리즘을 적용하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
48,2022,뿌리(열처리),생산공정 최적화,열처리 공정,열처리 공정최적화 AI 데이터셋,"판재 성형 가공 방법 중의 하나인 스탬핑 이후에 금속의 필요한 성질을 부여하기 위한 공정으로 공정 최적값을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 가이드북입니다. 열처리 염욕설비로부터 건조 1~2존 OP, 건조로 온도 1~2존 외 16개 데이터를 수집 및 전처리한 후 선형회귀 알고리즘을 적용하여 공정최적값을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
49,2022,의류,품질보증,염색공정,의류 품질보증 AI 데이터셋,"섬유 가공 공정 중 하나인 염색공정의 불량을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 과이드북입니다. MES로부터 Lot. 물량 데이터, 설비로부터 공정데이터, CCM으로부터 측정값 등을 수집 및 전처리한 후 XGBoost 알고리즘을 적용하여 불량품을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
50,2022,의류,생산공정 최적화,염색공정,의류 공정최적화 AI 데이터셋,"섬유 가공 공정 중 하나인 염색공정의 공정최적값을 예측하기 위한 제조 AI 분석과정을 담은 데이터셋과 과이드북입니다. MES로부터 Lot. 물량 데이터, 설비로부터 공정데이터, CCM으로부터 측정값 등을 수집 및 전처리한 후 Random Forest와 유전알고리즘을 적용하여 공정최적값을 예측하는 것을 도모합니다.",csv,콘텐츠 변경허용,https://www.kamp-ai.kr/aidataList
